User Name,Review Date,Comment Text,Rating
DoctorDragon,13 December 2023,"The ending of Attack on Titan leaves viewers without much explanation, which is the main reason I read negative reviews among people.It's only natural that there are these two opposing viewpoints: some people like to be able to reason about what happened and reflect to figure out what the true message of the series was, with their own interpretation, while others want to be guided to the underlying message by the viewing experience itself.So I decided to illustrate my point of view, constructed by reasoning with multiple people and observing various perspectives:Eren dies when he kisses Historia's hand in season 3. From that moment, he sees the massacre that will happen, and he asks to himself...how is it possible for me to do such a thing? At the end of season 3 we see him pointing his finger across the sea and wondering if that is the solution. There we already had the clue about the character's evolution, with his gaze lost in the void and the future. When talking to Armin, we see that Eren tries to explain to him how he reasoned about his actions. He tried to change things, but everything converged there, and so he wondered what was the purpose, the reason for everything.The answer? There isn't one. He didn't do it for his friends because some died, he didn't do it for an everlasting peace because there is no such thing, it is a utopia. He then wonders if he is just a fool with divine power...but that is not the case too.Since he knew the future, he no longer had any freedom of choice.This is the cornerstone of the argument! He lost his freedom. And it is not a justification for the atrocities he did, but an indictment of war itself, the cause of all evil. Eren became a puppet of hatred and war.... And all that for a kiss on a hand.There was never any plan by Eren, because what ruled his actions were not his choices, and this from the very beginning of season 4! The author made us believe in a plan...which was really just fate itself. A ""dark fate"" we might say.I find this ending brilliant, a poem of horror and fatalism.Having finished the reasoning part, I would like to mention the wonderful animation, music and dubbing of the characters (original version). There were some truly breathtaking and tremendously emotional scenes: Armin scolding himself by looking at his motionless body, the baby in the crowd, the team-up of Levi and Mikasa, all the scenes in the credits, ...If you have read this far, I would like to thank you for your time and hope that this review helped you to better understand one of the perspectives of this complex and colossal episode.",10
IPyaarCinema,12 December 2023,"Attack on Titan is the most intricate and well-crafted piece I have ever come across. Its first season serves as a blueprint for creating a complex, meticulously planned series. Attack on Titan is a masterpiece that takes you on an emotional roller-coaster. From the thrilling plot twists to the intricately crafted characters. It'll have you on the edge of your seat from the very first episode. Set in a world where mankind is locked inside walls to protect themselves from towering human-eating giants, the colossal walls that serve as humanity's last line of defense against the Titans are a constant reminder of how precarious their existence is. The visual depictions of these towering giants - with their grotesque facial features and eerie movements - add to the dark and suspenseful atmosphere of the series, drawing you into its world.As the narrative progresses, the secrets of the Titans' origins and the world's true nature begin to reveal themselves, creating an atmosphere of intrigue that leaves viewers wanting more. Careful pacing ensures that each plot point is well-executed, allowing the story to gradually unfold toward an explosive conclusion. Animation and visual design Attack on Titan is a delight to behold. The animation captures the characters' movements perfectly, especially during those heart-stopping vertical battles. From the city within the walls to the lush forest outside to the eerie scenes of the Titan encounters, everything is beautifully animated.The characters are a big part of what makes it so great. They all feel super real, even the minor ones who don't stick around long. But Eren? He's probably my favorite protagonist ever. No, - he's my favorite character, period. There's something about his journey, his determination, and how he evolves that just resonates with me. Alongside Eren, his childhood friend Mikasa and Armin bring warmth and companionship to the table. Attack on Titan's character development is one of the show's strengths. Of course other than that trio, you have Zeke, Reiner, Annie , Levi, Erwin.. I could go on and on. They each have their place in the show and they perfect the role. Fantastic characters to commend a fantastic show.The ending of Attack on Titan is perfect because of humanity's imperfections. Humans are complicated and conflicted. There is either simply no reason or explanation as to why people do the things they do. How do you get over the ending of the show you love the most? You don't. The loneliness and emptiness swell up within you, and you find yourself wondering how you will fill the hole that this show left you with. The answer, however, is to keep moving forward.",10
MarvellousApollo,26 November 2023,"The ending dared to amaze
It was New, Fresh, and most importantly challenged what we know of stories!To deliver the final message and that message be that the world will never know peace is something that we are not used to, I'm not saying it's unique to AOT, but this is rarely seenEren and Armin's last conversation was Peak.For armin, instead of him saying ""thank you for being a mass murderer for our sake"" it was turned to ""I'll join you in hell"" it's a simple change of dialogue that delivered what isayama intended. The way Eren realizes that he activated the rumbling for one thing and one thing only, his own selfish desires! This scene was done well in the manga, but the anime elevated it to a whole new level!AOT is an exceptional piece of art, from the world building to the characters, plot, story, depth and complexity this was a unique journey from start to finishI have so many things to say about AOT and the final episode and I will never stop talking about them, but for now here where I'll stop talking!""To the boy who sought freedom, goodbye""",10
murphyodhran,24 November 2023,"My favourite show of all time. This conclusion was incredible, simply spectacular. Only real criticism I have about this finale is that they used a small bit too much 3d CGI rather than classic 2d animation (rip wit studio) but my main issue with this ending is that the huge fight scene at the end was done very well but the whole aftermath and the impact it had wasn't depicted very well and seemed a tad rushed. I'd bring my score to a 9 if we got a simple scene explaining where some characters are now, for example Rico and woerman (call them irrelevant idc). Or maybe showing us what Paradis island looked like at the end of the rumbling.",8
lilag-80710,24 November 2023,"What a horrible idea that ""the genocide can be justified by the goal"". And it bothers me that a show that spent 10 years accumulating emotional credibility and influence ended up planting an ideological bomb in the minds of many viewers. No, for me Eren crossed the line. The goal does NOT justify the means.""There was no other choice"", ""everything is ambiguous"". We hear this rhetoric in modern propaganda today. But did Eren and Zeke have a choice? Yes.1. Throughout the series, Eren was a slave to his anger. Gabi was able to overcome her anger, but Eren could not. In the finale, Eren admitted that he simply wanted to raze the world to the ground. This monstrous desire has nothing to do with protecting Paradise. Eren could not attack Marley, but come there and offer peace. The series did not show any convincing attempts to make peace. In fact, Paradise made friends with a technologically advanced country that already surpassed Marley's strength. All that had to be done was to master technology to protect the island. If Marley had tried to attack, Paradise would have repulsed the attack. Other countries would see that Paradise was only defending itself. And since Marley's militaristic greed had already gotten to everyone, other countries could side with Paradise. Instead, the attack on Marley turned all countries against Paradise. These are Eren and Zeke's destructive actions and could have been avoided.2. Zeke's goal is to stop the war by reconciling everyone with the Eldians (at the cost of the sterility of the Eldians). However, he participated in the devastating attacks on Paradise and then approved the attack on Marley (eventually rallying everyone in hatred against the Eldians). This plan is counterproductive and stupid.Instead, Zeke could accumulate authority and influence in Marley and use this to gather like-minded people who want peace. Targeted elimination of war fanatics.The finale admires Eren (aw, he sacrificed his own happiness; bequeathed a ""new world"", what a plan he pulled off). Sentimentally flew in the form of a bird, how touching. A mass murderer gains the aura of a hero.I respected this great show for honesty in depicting difficult issues. But some its ideas and conclusions are terrible. Still we are free to disagree with them.",2
arunchittalil-46160,23 November 2023,"This episode from Attack on Titan is the best episode I have ever watched. Its like a watching a movie. There are some changes in dialogue placement from manga it makes anime more easier to understand. The visuals are top class as always Especially the odm gear sequences. Mikasa and Levi fighting together to get near to Erens founding Titan is truly a visual treat . Some facial expressions look weird (jeans Eren's and Armin) . They used some of the old soundtracks that gives us nostalgic vibe. The sound tracks of attack on titan is a masterpiece it's always give us goosebumps. There is a scene where Mikasa's and Erens voice actors singing together that is a wonderful scene and I love the song too. The ending is heartbreaking. I always expected a confession scene from Eren from season one now it's happened, but it made me cry . Never love a character as much as Eren and Mikasa . Their cabin scenes made me a little happy. This the best ending Attack on Titan needed . Overall
-Animation 10/10
-Soundtracks 10/10 (They should have used T-KT and call of silence somewhere)
-Action 10/10.",10
diko-55552,20 November 2023,"The plan was apparently ""murder 80% of the world, so the Alliance looks like the good guys"", but in the next breath we are told that they're just going to take their revenge--""This fight won't end until either the Eldians or the rest of the world are wiped out."" The idea that the Alliance looks like the good guys is ridiculous: no one could believe that their victory over the unstoppable Eren was legitimate (which it wasn't, he lets them win), Paradis is still largely Yeagerist, and the battle itself wasn't observable by non-Eldians. On the other hand, killing 80% of the world just to delay war with the other 20%, is also a terrible justification for genocide. Why stop at 80%? Going by early 1900s estimates, Eren will have killed over 1 billion people, leaving 200-500 million against Paradis's meager 1 million. That's like Fiji vs the United States; Paradis does not stand a chance.The politics involved were too complex for Eren to figure out on his own, it seems. So why didn't he get advice from his genius best friend about it? Why did he talk to Floch & Historia? If he's worried that his friends will oppose him, maybe it's because they have a point and he should take their advice. If he can't stop himself anyways, there's not really any reason not to tell them either.This guy, having never expressed an iota of romantic affection for Mikasa, tells us he loves her only after he's dead.Knowing how the Rumbling would turn out, what was the point of all the collateral damage in the Liberio operation? The Liberians are some of the few people to survive the Rumbling, and likely to hold enmity for it. Taking the Warhammer Titan power seems largely wasted.There's no point to the time shenanigans.Eren seeing the future ultimately didn't change his plans. He still would have pushed forward to start the Rumbling, except his failure to complete it would make more sense.Did Eren even try to change the future? He could see the future, but does he know that it can't be changed?Did he need to influence the past? Knowing that Dina ate his mom and Grisha killed the Reiss family, what is the purpose in going back and making them do it?To be clear, my issue isn't that the future and past cannot be changed. It's that Eren had no motivation to do what he saw. He just did them because he saw them. Like a monkey would.Similarly, we abandon Historia for everything post-Uprising. That arc revolved around putting her in power, and once she's queen she does nothing except get pregnant. The story cuts to her every now and then to remind us she's pregnant, but nothing ever comes of it.It is difficult to tell what, if any, effect Hange's sacrifice had, which isn't a satisfying way to send off a character.The behavior of the Past Titans and Zeke is bizarre.Zeke, who was opposed to the Rumbling to begin with, could have ended the Rumbling at any time by just exiting Paths and running away or killing himself. He just didn't until Armin told him to.All of Zeke's friends, who were opposed to the Rumbling to begin with, could have helped the Alliance at any point, but didn't until Armin told them to.Only Zeke's friends decided to help. None of the other Past Titans wanted to stop the Rumbling.The Progenitor Hallucigenia started this whole thing and we know nothing about it. No one even gives it an in-universe name. We have to refer to it with nicknames.Is it natural? Magical? Is it the devil? Is there another one? Could it create another Founding Titan? Did it choose Ymir or was it an accident? This thing kicked off the entire mythos of the series and we know nothing about it and no one seems to care.Its behavior in the final battle is bizarre.When Eren's head is blown off, Reiner is somehow able to hold off the spine, which decided to stop growing once it reached about 50ft.When his head is blown off, it turns out the spine actually was the progenitor hallucigenia, and now it is somehow alive, disconnected, and independent for the first time in 2000 years. Its objective is apparently to reconnect with Eren's head. However, instead of running toward Eren in the aftermath of the explosion when everyone else is winded, it runs away to gather an army of titans to clear a path.Why was it so important to get to Eren's head when shifters can move their consciousness?It takes its horde of titans and bullrushes Reiner, Annie, and Pieck so it can get back to Eren. Despite the overwhelming force (the titans could just pick everyone up and run forward), they are still able to hold off the spine.Hallu-chan goes away. It just disappears without a trace and no one comments on it. It survived without a host before Ymir, why not now?Ymir's actions are incomprehensible
How much of the Rumbling was her and how much was Eren? During the final battle, did she build the Alliance's titans just so they could attack her? Did she have any agency at all besides choosing Eren over Zeke? The whole Ymir-Zeke-Eren love triangle doesn't seem to follow any particular rules.What was her motivation? Love? Love for perpetual abuser, projected onto Mikasa's obsession? Why is she gone? Because Mikasa kissed Eren? Ymir has had sex (most likely not consensual), but kissing is what placates her? Or was it her killing Eren?It seems that it functions like some kind of a fairy tale, where some single simple action just stops the curse without any real intermediary steps. If Mikasa killing Eren solved it, does that mean Ymir needed Mikasa to show her how to move on past her love? Was there no one else in 2000 years who could do that? So what did Eren accomplish when he convinced her to oppose the royal bloodline (i.e. Zeke) in 122? And how does this end the Titans? Was she only making titans for the last 2000 years specifically to be slaves to the royal bloodline?Why did Ymir make titans according to human rules? Why did she make titans for the Marleyans, who opposed the royal bloodline? Why was it difficult for a shifter to shift multiple times consecutively? What determined the rules that governed the titans at all?In the end she just goes away, like the worm, without a trace.The main objective of the Alliance vs Founder battle is nonsensical.For some reason, the spine is exposed on this Titan. It appears that his head and body spawned separate titan sections. If the head was truly a weak point, it is unclear why it never fully reattached to the body.Eren's head is detached twice, and the Alliance still views Eren's head as the main objective, assuming it needs to be severed a third time to win.AND SOMEHOW THEY'RE RIGHT?!Eren decides to take Colossal Titan form for some reason.It is unclear why he hid his head in his mouth. It is further unclear how Mikasa knew the head was in the mouth.Things just sorta stop and go away.Pure titans reverted back to normal. So that rather undercuts the pathos from 138, as well as 119.Titans are gone entirely. Now Paradis is basically defenseless. Thanks, Ymir.Apparently the Founding Titan can alter an Ackerman's memories, they just never did until Eren.In the end, nothing is accomplished. The war continues. Eren's genocide was pointless. In fact, it might have just made the remaining peoples hate Paradis more. Again, why would you half-ass a genocide?I tried to keep this criticism as objective as possible (inasmuch as criticism can be objective). I'm not angry that there wasn't a downer ending, or that Eren died; I'm upset that it was poorly written. I wanted to say good things about Attack on Titan's ending, but like many endings to stories that started great, it crumbled under its own weight. It happened to Mass Effect, Game of Thrones, Promised Neverland, and now Attack on Titan. Did I miss anything?",1
kudarijanhvi,20 November 2023,"I'm a very huge attack on titan fan since 2019. I've finished the Manga in 2021. I've been waiting for this part for almost 2 years! From the animation till the music it was just perfect! It was a ethereal movie experience! The fight scenes were just amazing! Especially the last fight between armin and eren! I'm so glad they added extra conversation between armin and eren. I was satisfied with their conversation. Cried for 2 hours after eren's death. Cried when mikasa missed him. This story does not have a happy ending as the cycle of war continues. Like they said, you don't expect a horror story to have a happy ending! Still upset that it's over because this story is very dear to me. But I'm glad to witness such a meaningful story! Thank you wit and MAPPA for animating it! Thank you Hajime isayama for creating this wonderful story! Itterasshai Eren.",10
badansazetim,19 November 2023,"I think Isayama had decided from the very beginning to kill Eren by Mikasa no matter what, even if Eren's death would solve nothing. Isayama just wanted AOT to have a mind-blowing tragic ending and didn't care about ruining his masterpiece. I'm not mad at Isayama because those two didn't end up being together, my problem is the necessity of this tragedy.Zeke's euthanasia plan was not more idiotic than Eren's ""master plan"". Eren sacrificed himself but achieved nothing. Neither war ended nor the titan power completely canceled. Although his friends found a life of happiness, Mikasa ended up being depressed and grieving for her love for the rest of her life. Besides the failure of Eren in achieving his goals (= eradicating titans and war), Eren had seen the future, and if he really loved Mikasa, he mustn't have carried out this plan, because I don't think that was a happy ending for Mikasa.Eren reincarnated as a bird? Come on Isayama are you kidding us?Zeke being killed by Levi, especially right after he helped them against Eren, was insane. Levi's promise to Erwin was for the time that Zeke and other people outside the walls were considered the ""enemy"". Besides, if Zeke deserved to get killed, then what about Anny or Rinner? How is it that because of the killing of Erwin, Levi kills Zeke in cold blood but Anny, the one who wiped out the whole of Levi's squad, doesn't get an even slap on the wrist?Historia's pregnancy thing was absolute garbage. She gave birth to a child whose existence serves no purpose in the story. So what was the point of Historia's getting pregnant from a no-named and no-faced farmer who'd even bullied her in the past and Historia clearly had no special feelings about him?What happened to the Hallucigenia? We're supposed to believe that it just disappeared/evaporated with Eren's death or Ymir's freedom. Really? Obviously, this isn't the case because as you know Hallucigenia has existed long before Eren and even Ymir. If the Hallucigenia was the source of titan power, and if it got destroyed somehow, so how is it possible that the kid in the final scene going into that tree means the return of titans?My final word: Although the ending was disappointing, AOT was, is, and will remain a masterpiece.",6
machinegunsword,19 November 2023,"I've been a fan of this series since 2020 and it has moved me like no other. There are handful of TV series and anime I consider masterpieces but Attack on titan manages to stand out among them and becomes something truly special. From the complex narrative, thematic depth, tackling heavy subjects, grey morality, series-long mystery that constantly keeps you intrigued. Phenomenal cast and jaw-dropping twists that constantly keeps you on edge, this series has everything you can expect from a tv series and it delivers all that with beautiful, top-class animation. I was dreading the finale of the series that I love so much but alas, the time has come for me to say goodbye to Aot. The finale managed to not only adapt a divisive ending based on the source material but it improved it tremendously and create a truly powerful,emotional hour of television. Eren's character is cemented as a truly tragic figure and he is condemned for his sins but also embraced by his friends as they say goodbye to the death of ""humanity's"" savior and the biggest monster of the world. Perfect balance of intense, jaw-dropping action and introspective emotional scenes. I was crying for a while after the end. Its hard to believe this series is over. I'm still not over AOT, it'll forever be my no.1 series. Attack on titan is a once in a generation anime masterpiece and is one of the few that truly stands on par with TV goats such as Breaking bad, the wire, the sopranos. Thank you MAPPA and Isayama.",10
